type	gene
Tcell	CD3D
Tcell	CD3E
Tcell	PTPRC
Bcell	CD79A
Bcell	MS4A1
Bcell	CD19
Plasma	JCHAIN
Plasma	TNFRSF17
NK	TYROBP
NK	NCAM1
NK	FCGR3
NK	NCR1
NK	KLRB1
NK	EOMES
Macrophage	LYZ
Macrophage	C1QA
Macrophage	C1QB
Macrophage	IL1B
Macrophage	SPP1
Monocyte	CD14
Monocyte	CD16
Monocyte	VCAN
Monocyte	FCN1
Monocyte	FCGR3A
Monocyte	FCGR3B
DC	CD1C
DC	CLEC9A
DC	CLEC10A
DC	BATF3
DC	XCR1
DC	LAMP3
pDC	SIGLECH
pDC	LILRA4
pDC	CLEC4C
Mast	MS4A2
Mast	CPA3
Mast	TPSAB1
Endothelia	PECAM1
Endothelia	CLDN5
Endothelia	VWF
Epithelia	EPCAM
Epithelia	KRT8
Epithelia	KRT18
Fibroblast	DCN
Fibroblast	COL1A1
Fibroblast	COL1A2
SMC	TAGLN
SMC	ACTA2
SMC	MYL9
Neutrophil	CSF3R
Neutrophil	G0S2
Neutrophil	S100A9
