type	Gene
Follicular	Cd20
Follicular	Ms4a1
Follicular	Cd19
Follicular	Hla-dra
Marginal_zone	Igm
Marginal_zone	Ighm
Marginal_zone	Cd21
Marginal_zone	Cd24
Germinal_center	Cd27
Germinal_center	Fcrh3
Germinal_center	Cd138
Germinal_center	B220
Germinal_center	Cd45r
Germinal_center	Cd40
Germinal_center	Tnfrsf7
Plasma_cells	Cd38
Plasma_cells	Bcma
Plasma_cells	Cd79a
Plasma_cells	Ighg1
Plasma_cells	Mzb1
Plasma_cells	Sdc1
Memory_B_Cell	Taci
Memory_B_Cell	Ighd
Memory_B_Cell	Fcer2
Memory_B_Cell	Tcl1a
Memory_B_Cell	Il4r
GC_B_cell_DZ	Stmn1
GC_B_cell_DZ	Aicda
GC_B_cell_DZ	Mki67
GC_B_cell_DZ	Birc5
GC_B_cell_LZ	Lmo2
GC_B_cell_LZ	Bcl2a1
MALT_B_cell	Jchain
MALT_B_cell	Igha1
GrB_secreting_cells	Gzmb
Regulatory_B_cell	Cd69
Regulatory_B_cell	Cd44
naive B cell	Tnfrsf13b
