Celltype	Gene
Arterial ECs	Efnb2
Arterial ECs	Sox17
Arterial ECs	Bmx
Arterial ECs	Sema3g
Arterial ECs	Hey1
Arterial ECs	Ltbp4
Arterial ECs	Fbln5
Arterial ECs	Gja5
Arterial ECs	Gja4
Capillary ECs	Kdr
Capillary ECs	Ca4
Capillary ECs	Prx
Capillary ECs	Rgcc
Capillary ECs	Sparc
Capillary ECs	Sgk1
Venous ECs	Nr2f2
Venous ECs	Vcam1
Venous ECs	Ackr1
Venous ECs	Selp
Lymphatic ECs	Prox1
Lymphatic ECs	Lyve1
Lymphatic ECs	Flt4
Lymphatic ECs	Pdpn
Systemic-venous ECs	Ebf1
Systemic-venous ECs	Ebf3
Systemic-venous ECs	Meox1
Systemic-venous ECs	Meox2
Systemic-venous ECs	Znf385d
Systemic-venous ECs	Tacr1
Systemic-venous ECs	Robo1
Systemic-venous ECs	Cysltr1
Systemic-venous ECs	Cpxm2
Systemic-venous ECs	Mmp16
Systemic-venous ECs	Pde7b
Systemic-venous ECs	Pde2a
Systemic-venous ECs	Spry1
Pulmonary-venous ECs	Ptgs1
Pulmonary-venous ECs	Ptgis
Pulmonary-venous ECs	C7
Pulmonary-venous ECs	Plat
Pulmonary-venous ECs	Procr
Pulmonary-venous ECs	Thbd
Pulmonary-venous ECs	C1r
Pulmonary-venous ECs	Clu
Pulmonary-venous ECs	Cpe
Pulmonary-venous ECs	Dkk3
Pulmonary-venous ECs	Dkk2efemp1
Pulmonary-venous ECs	Cdh11
Pulmonary-venous ECs	Mmrn1
Pulmonary-venous ECs	Pkhd1l1
Aerocyte ECs	Ednrb
Aerocyte ECs	Tbx2
Aerocyte ECs	Foxp2
Aerocyte ECs	Clec4e
Aerocyte ECs	Spon2
Aerocyte ECs	Prkg
Aerocyte ECs	Chrm2
Aerocyte ECs	S100a4
Aerocyte ECs	Eda
Aerocyte ECs	Hpgd
Aerocyte ECs	Sostdc1
Tip ECS	Plval
Tip ECS	Cxcr4
Immature	Apln
